r rho u P M
76824243.2048657 400676222.15600497 1.1898973407120502e+18 1.7091455742649006e+26 1.5674895999028554e+33
77780955.80024666 387633578.310789 1.1820417456975532e+18 1.643138044925206e+26 1.595338399899651e+33
78745991.68709534 374912063.81351024 1.1741613876667146e+18 1.5792119455199625e+26 1.6231871998964372e+33
79719782.76643834 362505333.06402093 1.166242220960102e+18 1.5173094795521434e+26 1.6510359998931958e+33
80702758.90932108 350410745.12267935 1.1582739032053944e+18 1.4573749468713734e+26 1.6788847998899268e+33
81695360.23090546 338621372.9141766 1.1502532473095044e+18 1.399354105994536e+26 1.7067335998866577e+33
82698044.50687191 327128395.30839586 1.1421926235932086e+18 1.3431947686267817e+26 1.7345823998833795e+33
83711275.24605463 315927622.4509388 1.1340896367309531e+18 1.2888463613995025e+26 1.7624311998800735e+33
84735521.55533673 305015099.89995444 1.1259340247942612e+18 1.2362599335180417e+26 1.7902799998767676e+33
85771259.22758985 294386702.6850027 1.11771607128495e+18 1.185387960219276e+26 1.8181287998734432e+33
86818972.42323364 284037997.18850946 1.1094253550472394e+18 1.1361843788486638e+26 1.8459775998701095e+33
87879146.69503997 273966564.0994592 1.1010567657626249e+18 1.0886043103266758e+26 1.8738263998667667e+33
88952302.29934458 264161530.76356044 1.0926106964959457e+18 1.0426042894700083e+26 1.9016751998633777e+33
90038975.85024746 254617613.07278603 1.0841023205170929e+18 9.981420559141641e+25 1.9295239998599796e+33
91139729.45807758 245327847.64472982 1.0755578063912433e+18 9.55176579042758e+25 1.957372799856563e+33
92255208.23022786 236273633.9328126 1.0670894989161637e+18 9.136678118809889e+25 1.9852215998531463e+33
93386952.3455309 227274002.17427796 1.0604124506345979e+18 8.73577478197085e+25 2.0130703998497297e+33
94534936.79588081 218655530.41937384 1.0524336599090787e+18 8.348690234129827e+25 2.0409191998463223e+33
95700100.41288014 210224463.3045355 1.0449590382181119e+18 7.975065904356283e+25 2.0687679998429425e+33
96883826.29488191 201910974.89196706 1.0386997160221467e+18 7.6145529964768575e+25 2.0966167998395536e+33
98088245.14989656 193610422.18287206 1.0348712289057219e+18 7.266822765488085e+25 2.1244655998361554e+33
99315500.02115317 185355500.2527884 1.0333235227144462e+18 6.931572437387503e+25 2.1523143998327664e+33
100567183.80221523 177258050.17130256 1.0329768346178828e+18 6.608523437791587e+25 2.1801631998294052e+33
101848015.05971394 168916728.06368306 1.0393041552919078e+18 6.2973887793254444e+25 2.20801199982609e+33
103206658.40641315 155169173.93820968 1.1299678971528475e+18 5.997869201923233e+25 2.235860799822784e+33
104667054.02347286 140468777.63853452 1.2649815052808586e+18 5.7103444156928e+25 2.263709599819515e+33
106149376.97481762 134554339.89860827 1.2542167103846712e+18 5.435261566391737e+25 2.2915583998163013e+33
107654385.0006557 128848669.802888 1.2433536766986035e+18 5.1720994844048635e+25 2.3194071998131152e+33
109182759.12451911 123353758.80821703 1.2323690118003405e+18 4.920383289934212e+25 2.3472559998099937e+33
110735130.3522359 118068133.46365611 1.221221677442188e+18 4.679690638219353e+25 2.3751047998069368e+33
112312274.59415032 112975328.13110094 1.210126895752442e+18 4.449604308925802e+25 2.4029535998039537e+33
113914795.71516176 108082764.56182216 1.1987741953575089e+18 4.2297087110255875e+25 2.430802399801026e+33
115543338.33625413 103381606.62749 1.1871996683368287e+18 4.019609550150142e+25 2.4586511997981627e+33
117198692.27442735 98857309.35438141 1.1756072462098483e+18 3.818926870835539e+25 2.4864999997953732e+33
118881642.97485988 94505750.69582096 1.1639782538484833e+18 3.627289729712032e+25 2.5143487997926576e+33
120592903.63806787 90326323.67289288 1.152163754820958e+18 3.444338760510519e+25 2.5421975997900157e+33
122333216.27671893 86312457.61047134 1.1401717433422611e+18 3.269727694925983e+25 2.5700463997874476e+33
124103444.0535842 82453550.87777889 1.128130113623205e+18 3.1031250921228884e+25 2.597895199784935e+33
125904443.38360807 78745932.30708465 1.1160768100140444e+18 2.944208582126621e+25 2.625743999782496e+33
127736940.97972767 75190922.6352705 1.1038198155600558e+18 2.792669235067702e+25 2.6535927997801585e+33
129601659.21804956 71783714.14559656 1.0912849299678957e+18 2.6482077640211975e+25 2.681441599777904e+33
131499590.31251517 68509472.42082891 1.0788227207626373e+18 2.5105348039334064e+25 2.709290399775742e+33
133431538.91036427 65371336.93388498 1.0662657164386752e+18 2.379371851382989e+25 2.737139199773672e+33
135398357.63686863 62363344.820196904 1.0536065874911488e+18 2.254450465604977e+25 2.764987999771703e+33
137400822.3021635 59483680.329641476 1.0407681182893874e+18 2.135511262866002e+25 2.792836799769827e+33
139439802.9791124 56725196.3272995 1.027910195626739e+18 2.0223035761778307e+25 2.820685599768043e+33
141516085.02505752 54086151.82070861 1.0148804200516404e+18 1.9145856269367647e+25 2.848534399766388e+33
143630616.35034314 51558209.35009737 1.0019390934657076e+18 1.8121237246664492e+25 2.8763831997648066e+33
145784133.1811825 49142699.2414176 9.888731040681132e+17 1.7146928254884613e+25 2.9042319997633177e+33
147977522.9558212 46831979.24604197 9.757945465509715e+17 1.6220753152900592e+25 2.93208079976193e+33
150211511.64593068 44625611.49684832 9.626512818435964e+17 1.5340612957062173e+25 2.959929599760644e+33
152486894.75782093 42518078.95971957 9.494728444546216e+17 1.4504477630008261e+25 2.987778399759478e+33
154804309.78331724 40508326.54510191 9.36164282523169e+17 1.3710381449035366e+25 3.0156271997584133e+33
157164434.1769196 38591465.03202498 9.227537816935546e+17 1.2956414124550093e+25 3.0434759997574317e+33
159567931.57165426 36763743.93078336 8.857387653240746e+17 1.224078746013144e+25 3.071324799756542e+33
162015396.04904386 35022309.5051016 8.753204824721628e+17 1.1561834297822e+25 3.099173599755745e+33
164507530.06268474 33361796.470827915 8.647584378068643e+17 1.0917834520014052e+25 3.127022399755068e+33
167044934.92650026 31779996.462539796 8.540042937255203e+17 1.0307108688495282e+25 3.154871199754501e+33
169628142.99697515 30274147.56819868 8.430392124883475e+17 9.728070924861172e+24 3.182719999754027e+33
172257699.45783368 28840535.214769218 8.318903126590798e+17 9.179210765048489e+24 3.210568799753663e+33
174934067.04838932 27476626.74234353 8.205437718747715e+17 8.659080088422908e+24 3.2384175997533824e+33
177657724.48687994 26178882.026819397 8.090319257601037e+17 8.166286878433373e+24 3.266266399753194e+33
180429025.53575894 24945242.7084975 7.973309644221637e+17 7.699493690236033e+24 3.294115199753107e+33
183248230.33871156 23773274.492159143 7.854361452969517e+17 7.257415284744366e+24 3.321963999753112e+33
186115508.86322895 22660500.193400003 7.733480203254214e+17 6.838816991105405e+24 3.349812799753191e+33
189031015.6932552 21603889.73944472 7.610932741818775e+17 6.442513389678912e+24 3.3776615997533625e+33
191994919.22365218 20600355.510810517 7.48701740001972e+17 6.067367058267084e+24 3.4055103997536076e+33
195007411.4091011 19646932.44817478 7.36201725816082e+17 5.712288003463805e+24 3.4333591997539264e+33
198068850.36355653 18739957.17012356 7.236550756761341e+17 5.376233685845883e+24 3.4612079997542914e+33
201179851.08078727 17875602.476725526 7.111335977685718e+17 5.058210266902007e+24 3.4890567997547117e+33
204341283.160445 17050494.286261298 6.986964866836746e+17 4.757274239497269e+24 3.5169055997551965e+33
207554256.45768067 16261721.194163388 6.863810041567342e+17 4.472529516541227e+24 3.544754399755746e+33
210820065.5629346 15506970.260503046 6.742001818815492e+17 4.203129075543243e+24 3.57260319975636e+33
214140143.74275917 14784373.735066433 6.621528590546226e+17 3.9482694421748275e+24 3.600451999757029e+33
217516035.83137482 14092345.365975764 6.50228670148932e+17 3.7071906734501464e+24 3.628300799757754e+33
220949397.44512898 13429426.535941632 6.384105544211154e+17 3.479173917745311e+24 3.6561495997585155e+33
224442003.2898577 12794239.608616423 6.266894043573805e+17 3.263537977870012e+24 3.683998399759314e+33
227995747.68605563 12185513.20484067 6.150566556276452e+17 3.059637813514086e+24 3.71184719976014e+33
231612672.01719996 11601984.291733852 6.035075756558506e+17 2.8668635597727357e+24 3.739695999761003e+33
235294963.40047207 11042502.488066293 5.920375488597229e+17 2.684637233499695e+24 3.767544799761903e+33
239044872.5600033 10506247.34186362 5.80623324314729e+17 2.5124118242577646e+24 3.795393599762849e+33
242864920.32962295 9991880.240764318 5.692582848206999e+17 2.3496689611161666e+24 3.8232423997638227e+33
246757648.81811827 9498838.25974151 5.579264439570378e+17 2.1959189382689832e+24 3.851091199764824e+33
250725854.04800048 9026012.082851108 5.466507327287368e+17 2.0506958995518928e+24 3.878939999765844e+33
254772716.33655465 8572135.872620793 5.3543625015929805e+17 1.9135588411126086e+24 3.9067887997668914e+33
258914728.8241271 8110318.22123038 5.260606909803916e+17 1.7840920541832536e+24 3.9346375997679665e+33
263172237.96572933 7638457.983416889 5.191759034422129e+17 1.6619267223963655e+24 3.9624863997690417e+33
267555025.42801908 7180480.960700247 5.127036597934811e+17 1.546736252525336e+24 3.990335199770117e+33
272071574.40336645 6739893.748856006 5.0672351547979245e+17 1.4382115154634926e+24 4.018183999771201e+33
276726460.0568538 6322838.472403785 5.0108665226588506e+17 1.3360567868584782e+24 4.046032799772304e+33
281527543.2103643 5924381.080345963 4.960845318202572e+17 1.2399822880888513e+24 4.073881599773407e+33
286482262.1729574 5545170.536375361 4.9156740503965005e+17 1.1497044099739229e+24 4.101730399774528e+33
291599534.13689786 5183560.641615952 4.8754884594484826e+17 1.064943589612851e+24 4.1295791997756494e+33
297219213.57015425 4549551.927743459 5.249586783143145e+17 9.854463998201327e+23 4.1574279997767614e+33
302053311.8505622 4135880.695472404 5.4374616163796077e+17 9.18111547793633e+23 4.1799855277776624e+33
306653224.994838 3477747.064630216 6.315882336691437e+17 8.661952450652927e+23 4.1986073293637913e+33
310875128.78971916 3081175.4075233266 6.937915245504904e+17 8.252077460704486e+23 4.214191912885476e+33
311362087.5858243 2836921.0975316265 7.474124569344961e+17 8.056887805679046e+23 4.2158722692659734e+33
311407045.9741644 2419717.9362585144 9.064576792534147e+17 8.036456851015207e+23 4.216004819198216e+33
311436121.19239396 2004458.8984200237 1.1360129776082324e+18 8.034170752670569e+23 4.216075846844083e+33
311617953.59424937 2003415.0202607831 1.1358026735712288e+18 8.028524341254415e+23 4.216520113344972e+33
312885929.9667197 1996178.2982164628 1.1343228644218601e+18 7.989350768772404e+23 4.219621323854671e+33
318426245.7342932 1962044.4466416945 1.1272209952978221e+18 7.804707868830834e+23 4.233232407773722e+33
328636769.6692093 1887846.5808642188 1.1111906216311364e+18 7.405189248348566e+23 4.2585891699818266e+33
336393790.56458163 1810775.0699206628 1.0937925837349902e+18 6.994332338875414e+23 4.278106133114955e+33
343692704.43645114 1750500.0995921136 1.0797286447781068e+18 6.676802119843132e+23 4.296671999782368e+33
354500331.7855424 1682443.6995689159 1.0633747846316837e+18 6.322666953444083e+23 4.324520799783489e+33
365142455.0488312 1608283.914392897 1.0450022913114605e+18 5.9425862894735206e+23 4.3523695997846196e+33
375625694.4689252 1540875.3778068763 1.027801015898004e+18 5.602704222350082e+23 4.380218399785759e+33
385956561.72098774 1479311.253900066 1.0116676350031708e+18 5.2971992023321975e+23 4.408067199786899e+33
396141323.8010002 1422849.4591419855 9.965058997970767e+17 5.0213054042334866e+23 4.435915999788039e+33
406185951.07311875 1370872.25308165 9.822276551683766e+17 4.771076139479558e+23 4.4637647997891784e+33
416096102.8147744 1322859.3111712756 9.68753102390866e+17 4.543215505245185e+23 4.4916135997903274e+33
425877130.3704232 1278368.3950407633 9.560105401718666e+17 4.3349518146531395e+23 4.519462399791467e+33
435534088.9327267 1237020.8068754936 9.439358092044268e+17 4.143939547541115e+23 4.547311199792607e+33
445071753.38816184 1198490.1464323355 9.32471602059879e+17 3.9681822557639294e+23 4.5751599997937465e+33
454494635.6301355 1162493.4788901517 9.215667496625405e+17 3.8059714155788654e+23 4.603008799794886e+33
463807001.8157141 1128784.309677582 9.111755396448852e+17 3.655837576648721e+23 4.6308575997960536e+33
473012888.7599635 1097146.9276017733 9.012570902166154e+17 3.5165110305356206e+23 4.6587063997972395e+33
482116119.1522955 1067391.792605122 8.91774785354153e+17 3.386889879893848e+23 4.6865551997984253e+33
491120315.5710353 1039351.7319059129 8.826957702358899e+17 3.2660139073816476e+23 4.7144039997996296e+33
500028913.4098693 1012878.7730280324 8.739905033779608e+17 3.153043041862555e+23 4.7422527998008154e+33
508845172.8659559 987841.4882461508 8.65632360752363e+17 3.047239514492027e+23 4.7701015998020105e+33
517572190.1170292 964122.7571129481 8.575972879657934e+17 2.9479530088285093e+23 4.7979503998031963e+33
526212907.77416867 941617.8751140201 8.498634962737426e+17 2.8546082595827298e+23 4.8257991998043914e+33
534770124.6588985 920232.9510002153 8.424111982458842e+17 2.7666946631126567e+23 4.853647999805605e+33
543246504.9321145 899883.5452090717 8.35222378667017e+17 2.6837575447606123e+23 4.881496799806855e+33
551644586.5968616 880493.5093637728 8.282805959120003e+17 2.6053907925264348e+23 4.909345599808115e+33
559966789.3964235 861993.9938103952 8.215708098591215e+17 2.5312306191197516e+23 4.937194399809393e+33
568215422.133761 844322.5955797893 8.150792323994984e+17 2.4609502576170246e+23 4.96504319981068e+33
576392689.4443167 827422.6238860968 8.087931971886634e+17 2.3942554316488337e+23 4.9928919998119583e+33
584500698.0590703 811242.4642750752 8.027010457319473e+17 2.3308804709210057e+23 5.0207407998132456e+33
592541462.5974368 795735.0259221211 7.967920273564068e+17 2.270584966622002e+23 5.0485895998145513e+33
600516910.9296626 780857.2594166625 7.910562110208319e+17 2.2131508807135584e+23 5.076438399815857e+33
608428889.1473144 766569.7345528763 7.854844072887242e+17 2.158380038804671e+23 5.1042871998171905e+33
616279166.1764886 752836.2696229016 7.800680990732968e+17 2.1060919485947264e+23 5.1321359998185516e+33
624069438.0649847 739623.6050615036 7.747993801768593e+17 2.0561218959398472e+23 5.1599847998199126e+33
631801331.973141 726901.1152429206 7.696709003485774e+17 2.008319278473852e+23 5.1878335998213106e+33
639476409.8941828 714640.5534067939 7.646758162003921e+17 1.962546143349644e+23 5.215682399822718e+33
647096172.1268332 702815.8254360773 7.59807747272677e+17 1.9186759009040177e+23 5.243531199824116e+33
654662060.5203272 691402.7887897849 7.550607365978417e+17 1.8765921903275505e+23 5.271379999825541e+33
662175461.5098354 680379.0734248089 7.50429215264242e+17 1.8361878770898354e+23 5.299228799826967e+33
669637708.9586323 669723.921979909 7.459079705231468e+17 1.7973641648532094e+23 5.327077599828402e+33
677050086.8214602 659418.0468795473 7.414921170082986e+17 1.7600298070112172e+23 5.354926399829855e+33
684413831.6424434 649443.5023115065 7.371770707462079e+17 1.7241004052401194e+23 5.382775199831336e+33
691730134.8995813 639783.5693227404 7.329585256371885e+17 1.689497784194144e+23 5.410623999832817e+33
699000145.207152 630422.6524756354 7.288324321275295e+17 1.6561494329242248e+23 5.438472799834317e+33
706224970.3859239 621346.1867685139 7.247949778100827e+17 1.623988004925721e+23 5.466321599835844e+33
713405679.4097921 612540.5537063059 7.208425698908666e+17 1.5929508698625636e+23 5.494170399837389e+33
720543304.2377596 603993.0054109367 7.169718191452819e+17 1.5629797107940932e+23 5.522019199838963e+33
727638841.5393921 595691.5958907375 7.131795252940448e+17 1.534020161687396e+23 5.549867999840545e+33
734693254.3210099 587625.1187188806 7.094626636324214e+17 1.5060214806518209e+23 5.577716799842127e+33
741707473.4593074 579783.0504313663 7.058183728123034e+17 1.478936254833952e+23 5.60556559984371e+33
748682399.1485394 572155.4990486687 7.022439436496865e+17 1.4527201334873365e+23 5.633414399845283e+33
755618902.2671225 564733.1571760501 6.9873680881565e+17 1.4273315861320259e+23 5.661263199846875e+33
762517825.6689482 557507.2592184164 6.952945333792936e+17 1.4027316830933063e+23 5.689111999848457e+33
769379985.4043913 550469.542298353 6.919148060815378e+17 1.3788838960592872e+23 5.716960799850049e+33
776206171.8756299 543612.2104953593 6.885954312349326e+17 1.3557539164600534e+23 5.744809599851622e+33
782997150.9307013 536927.9020832739 6.853343211685618e+17 1.333309489801806e+23 5.772658399853168e+33
789753664.9002507 530409.6594769929 6.821294890893603e+17 1.3115202642367996e+23 5.800507199854722e+33
796476433.5808865 524050.90161383344 6.789790422246467e+17 1.2903576518200108e+23 5.828355999856296e+33
803166155.1672043 517845.3986678647 6.758811751387606e+17 1.2697947013571804e+23 5.856204799857878e+33
809823507.1302189 511787.24919817445 6.72834163450032e+17 1.249805982788566e+23 5.88405359985947e+33
816449147.0281175 505870.86042655393 6.698363591404264e+17 1.23036748646825e+23 5.911902399861052e+33
823043713.2005873 500090.93407383835 6.668861919624422e+17 1.2114565496835756e+23 5.939751199862653e+33
829607825.2417506 494442.46172719926 6.639821881558213e+17 1.1930518363444934e+23 5.967599999864245e+33
836142084.4847205 488920.70385718293 6.611230107134372e+17 1.1751333086111408e+23 5.995448799865836e+33
842647079.5802255 483520.78963027603 6.583047983809458e+17 1.1576809364110469e+23 6.023297599867428e+33
849123378.4787291 478238.71829995967 6.555312974525334e+17 1.1406772805987908e+23 6.051146399869029e+33
855571534.3649218 473070.30063796183 6.527986103095455e+17 1.1241048064482155e+23 6.07899519987062e+33
861992085.7120692 468011.5830352296 6.50105523498479e+17 1.1079470241629019e+23 6.106843999872221e+33
868385556.5822357 463058.81529625313 6.474508975293692e+17 1.0921883535725867e+23 6.134692799873822e+33
874752457.0735054 458208.4270026265 6.44833642675674e+17 1.0768140078138165e+23 6.162541599875423e+33
881093283.809412 453457.0125715829 6.422527111284719e+17 1.0618099258530407e+23 6.190390399877015e+33
887408520.424815 448801.3204908332 6.397070945036156e+17 1.0471627249128622e+23 6.218239199878616e+33
893698638.0340694 444238.2443156783 6.371958225684716e+17 1.0328596603228313e+23 6.246087999880235e+33
899964095.678458 439764.81455720396 6.347179620007132e+17 1.0188885888034578e+23 6.273936799881854e+33
906205340.7531306 435378.19117190613 6.322726149908137e+17 1.0052379341276514e+23 6.301785599883483e+33
912422809.4146215 431075.6565429936 6.298589177897508e+17 9.918966548904005e+22 6.329634399885121e+33
918616926.9701471 426854.60890747764 6.274760392007547e+17 9.788542142761554e+22 6.357483199886768e+33
924788108.2497454 422712.5561970197 6.251231791007094e+17 9.6610055175924e+22 6.385331999888424e+33
930936757.9622099 418647.1102660414 6.227995670377317e+17 9.536260566434997e+22 6.413180799890089e+33
937063271.0355864 414655.9814869888 6.205044609041811e+17 9.414215433621394e+22 6.441029599891736e+33
943168032.9429331 410736.97368940775 6.182371457249815e+17 9.294782284466725e+22 6.468878399893383e+33
949251420.0138917 406887.9794205372 6.159969325682295e+17 9.177877090796062e+22 6.49672719989504e+33
955313799.7324784 403106.97551702516 6.137831576383775e+17 9.063419431958286e+22 6.524575999896696e+33
961355531.0214857 399392.01896278915 6.11595181564567e+17 8.951332310924237e+22 6.552424799898352e+33
967376964.5138614 395741.24301148014 6.094323889863133e+17 8.8415419854151e+22 6.580273599900008e+33
973378442.8120444 392152.85351522575 6.072941884537608e+17 8.73397781330243e+22 6.608122399901665e+33
979360300.7379409 388625.1253300867 6.051800125808928e+17 8.628572109613947e+22 6.635971199903339e+33
985322865.5801543 385156.39852912637 6.030893180876698e+17 8.525260007545451e+22 6.663819999905023e+33
991266457.3535439 381745.0738745661 6.010215845778563e+17 8.423979304836761e+22 6.691668799906716e+33
997191389.1005086 378389.6066387232 5.989763094198182e+17 8.324670258342763e+22 6.719517599908419e+33
1003097967.280389 375088.49772804906 5.969529938699958e+17 8.227275270172812e+22 6.74736639991013e+33
1008986492.2893741 371840.28243583173 5.949511149466262e+17 8.13173843014644e+22 6.775215199911851e+33
1014857259.0476614 368643.523557112 5.92970086594325e+17 8.038005071562954e+22 6.803063999913572e+33
1020710557.2079062 365496.83277981775 5.910092515928282e+17 7.946022100546658e+22 6.830912799915302e+33
1026546662.8037415 362399.40262458933 5.890678566373336e+17 7.85574060002571e+22 6.858761599917032e+33
1032365845.49678 359350.0263258012 5.871464062365613e+17 7.767114192781913e+22 6.886610399918762e+33
1038168377.2189927 356347.01648257015 5.852439396787286e+17 7.68009600507516e+22 6.91445919992051e+33
1043954523.4522221 353389.2778651459 5.833602062437048e+17 7.59464360266077e+22 6.942307999922277e+33
1049724543.3685815 350475.75510615396 5.814948927042313e+17 7.510715895120193e+22 6.970156799924062e+33
1055478690.3764343 347605.40599323745 5.796476390259542e+17 7.428272542071097e+22 6.998005599925857e+33
1061217212.5732905 344777.2055419259 5.778180689074499e+17 7.347274183787309e+22 7.025854399927642e+33
1066940353.0516044 341990.153297491 5.7600580915723136e+17 7.267682674881112e+22 7.053703199929428e+33
1072648350.1063054 339243.2776226659 5.742104980072504e+17 7.189461181545463e+22 7.081551999931185e+33
1078341437.3905537 336535.6371892871 5.7243178731113446e+17 7.1125741827065096e+22 7.109400799932962e+33
1084019844.047213 333866.32085895276 5.706693421742407e+17 7.036987425607881e+22 7.137249599934728e+33
1089683794.8295383 331234.44682677224 5.689228397664964e+17 6.962667866324481e+22 7.165098399936495e+33
1095333510.2165115 328639.161504364 5.67191968175306e+17 6.8895836092673326e+22 7.192947199938253e+33
1100969206.5249147 326079.638350923 5.65476425413158e+17 6.817703850362627e+22 7.220795999939983e+33
1106591096.0185902 323555.0767413665 5.637759186275523e+17 6.746998825111995e+22 7.248644799941695e+33
1112199387.0148594 321064.70089682244 5.620901635060508e+17 6.677439761343346e+22 7.276493599943415e+33
1117794283.9880261 318607.7588770089 5.604188838086559e+17 6.608998835536829e+22 7.304342399945127e+33
1123375987.6698968 316183.52163295145 5.587618109627848e+17 6.5416491322991475e+22 7.332191199946839e+33
